date,amount
03.01.18 Mi.,8
04.01.18 Do.,10
05.01.18 Fr.,9
08.01.18 Mo.,7
09.01.18 Di.,8
10.01.18 Mi.,13
11.01.18 Do.,11
12.01.18 Fr.,9
15.01.18 Mo.,17
16.01.18 Di.,17
17.01.18 Mi.,18
18.01.18 Do.,16
19.01.18 Fr.,8
22.01.18 Mo.,10
23.01.18 Di.,8
24.01.18 Mi.,16
25.01.18 Do.,16
26.01.18 Fr.,14
29.01.18 Mo.,15
30.01.18 Di.,16
31.01.18 Mi.,15
01.02.18 Do.,16
02.02.18 Fr.,15
05.02.18 Mo.,16
06.02.18 Di.,15
07.02.18 Mi.,12
08.02.18 Do.,16
09.02.18 Fr.,13
12.02.18 Mo.,15
13.02.18 Di.,13
14.02.18 Mi.,14
15.02.18 Do.,16
16.02.18 Fr.,15
19.02.18 Mo.,11
20.02.18 Di.,15
21.02.18 Mi.,14
22.02.18 Do.,12
23.02.18 Fr.,11
26.02.18 Mo.,15
27.02.18 Di.,13
28.02.18 Mi.,12
01.03.18 Do.,9
02.03.18 Fr.,11
05.03.18 Mo.,11
06.03.18 Di.,10
07.03.18 Mi.,8
08.03.18 Do.,8
09.03.18 Fr.,10
12.03.18 Mo.,12
13.03.18 Di.,14
14.03.18 Mi.,12
15.03.18 Do.,13
16.03.18 Fr.,10
19.03.18 Mo.,14
20.03.18 Di.,11
21.03.18 Mi.,11
22.03.18 Do.,10
23.03.18 Fr.,15
26.03.18 Mo.,10
27.03.18 Di.,16
28.03.18 Mi.,14
29.03.18 Do.,14
03.04.18 Di.,11
04.04.18 Mi.,12
05.04.18 Do.,14
06.04.18 Fr.,8
09.04.18 Mo.,13
10.04.18 Di.,12
11.04.18 Mi.,14
12.04.18 Do.,14
13.04.18 Fr.,15
16.04.18 Mo.,16
17.04.18 Di.,15
18.04.18 Mi.,9
19.04.18 Do.,11
20.04.18 Fr.,13
23.04.18 Mo.,12
24.04.18 Di.,12
25.04.18 Mi.,13
26.04.18 Do.,13
27.04.18 Fr.,12
30.04.18 Mo.,14
01.05.18 Di.,9
02.05.18 Mi.,12
03.05.18 Do.,12
04.05.18 Fr.,14
07.05.18 Mo.,14
08.05.18 Di.,13
09.05.18 Mi.,11
11.05.18 Fr.,11
14.05.18 Mo.,13
15.05.18 Di.,13
16.05.18 Mi.,10
17.05.18 Do.,17
18.05.18 Fr.,15
22.05.18 Di.,12
23.05.18 Mi.,13
24.05.18 Do.,13
25.05.18 Fr.,14
28.05.18 Mo.,11
29.05.18 Di.,13
30.05.18 Mi.,17
31.05.18 Do.,16
01.06.18 Fr.,12
04.06.18 Mo.,10
05.06.18 Di.,12
06.06.18 Mi.,11
07.06.18 Do.,12
08.06.18 Fr.,10
11.06.18 Mo.,10
12.06.18 Di.,7
13.06.18 Mi.,11
14.06.18 Do.,6
15.06.18 Fr.,11
18.06.18 Mo.,10
19.06.18 Di.,9
20.06.18 Mi.,9
21.06.18 Do.,14
22.06.18 Fr.,12
25.06.18 Mo.,12
26.06.18 Di.,11
27.06.18 Mi.,13
28.06.18 Do.,16
29.06.18 Fr.,15
02.07.18 Mo.,7
03.07.18 Di.,13
04.07.18 Mi.,12
05.07.18 Do.,14
06.07.18 Fr.,10
09.07.18 Mo.,11
10.07.18 Di.,10
11.07.18 Mi.,13
12.07.18 Do.,15
13.07.18 Fr.,16
16.07.18 Mo.,13
17.07.18 Di.,10
18.07.18 Mi.,10
19.07.18 Do.,16
20.07.18 Fr.,13
23.07.18 Mo.,12
24.07.18 Di.,15
25.07.18 Mi.,9
26.07.18 Do.,12
27.07.18 Fr.,10
30.07.18 Mo.,14
31.07.18 Di.,11
02.08.18 Do.,15
03.08.18 Fr.,13
06.08.18 Mo.,12
07.08.18 Di.,13
08.08.18 Mi.,10
09.08.18 Do.,12
10.08.18 Fr.,15
13.08.18 Mo.,11
14.08.18 Di.,13
15.08.18 Mi.,9
16.08.18 Do.,16
17.08.18 Fr.,15
20.08.18 Mo.,14
21.08.18 Di.,11
22.08.18 Mi.,10
23.08.18 Do.,12
24.08.18 Fr.,12
27.08.18 Mo.,10
28.08.18 Di.,10
29.08.18 Mi.,9
30.08.18 Do.,15
31.08.18 Fr.,12
03.09.18 Mo.,11
04.09.18 Di.,13
05.09.18 Mi.,18
06.09.18 Do.,15
07.09.18 Fr.,15
10.09.18 Mo.,10
11.09.18 Di.,14
12.09.18 Mi.,13
13.09.18 Do.,14
14.09.18 Fr.,13
17.09.18 Mo.,9
18.09.18 Di.,12
19.09.18 Mi.,12
20.09.18 Do.,12
21.09.18 Fr.,11
24.09.18 Mo.,11
25.09.18 Di.,12
26.09.18 Mi.,13
27.09.18 Do.,11
28.09.18 Fr.,13
01.10.18 Mo.,10
02.10.18 Di.,8
03.10.18 Mi.,9
04.10.18 Do.,12
05.10.18 Fr.,11
08.10.18 Mo.,10
09.10.18 Di.,10
10.10.18 Mi.,11
11.10.18 Do.,7
12.10.18 Fr.,11
15.10.18 Mo.,6
16.10.18 Di.,10
17.10.18 Mi.,6
18.10.18 Do.,12
19.10.18 Fr.,12
22.10.18 Mo.,13
23.10.18 Di.,13
24.10.18 Mi.,13
25.10.18 Do.,16
26.10.18 Fr.,13
29.10.18 Mo.,6
30.10.18 Di.,12
31.10.18 Mi.,10
01.11.18 Do.,15
02.11.18 Fr.,9
05.11.18 Mo.,11
06.11.18 Di.,16
07.11.18 Mi.,15
08.11.18 Do.,16
09.11.18 Fr.,13
12.11.18 Mo.,14
13.11.18 Di.,14
14.11.18 Mi.,16
15.11.18 Do.,15
16.11.18 Fr.,14
19.11.18 Mo.,17
20.11.18 Di.,16
21.11.18 Mi.,13
22.11.18 Do.,16
23.11.18 Fr.,14
26.11.18 Mo.,12
27.11.18 Di.,15
28.11.18 Mi.,16
29.11.18 Do.,14
30.11.18 Fr.,11
03.12.18 Mo.,11
04.12.18 Di.,12
05.12.18 Mi.,15
06.12.18 Do.,12
07.12.18 Fr.,13
10.12.18 Mo.,16
11.12.18 Di.,11
12.12.18 Mi.,15
13.12.18 Do.,15
14.12.18 Fr.,15
17.12.18 Mo.,13
18.12.18 Di.,12
19.12.18 Mi.,13
20.12.18 Do.,16
21.12.18 Fr.,13
24.12.18 Mo.,3
03.01.19 Do.,9
04.01.19 Fr.,8
07.01.19 Mo.,8
08.01.19 Di.,7
09.01.19 Mi.,11
10.01.19 Do.,11
11.01.19 Fr.,9
14.01.19 Mo.,9
15.01.19 Di.,10
16.01.19 Mi.,12
17.01.19 Do.,10
18.01.19 Fr.,11
21.01.19 Mo.,9
22.01.19 Di.,15
23.01.19 Mi.,13
24.01.19 Do.,10
25.01.19 Fr.,8
28.01.19 Mo.,13
29.01.19 Di.,14
30.01.19 Mi.,14
31.01.19 Do.,13
01.02.19 Fr.,12
04.02.19 Mo.,14
05.02.19 Di.,14
06.02.19 Mi.,10
07.02.19 Do.,12
08.02.19 Fr.,12
11.02.19 Mo.,9
12.02.19 Di.,15
13.02.19 Mi.,14
14.02.19 Do.,12
15.02.19 Fr.,10
18.02.19 Mo.,5
19.02.19 Di.,15
20.02.19 Mi.,16
21.02.19 Do.,8
22.02.19 Fr.,14
25.02.19 Mo.,15
26.02.19 Di.,13
27.02.19 Mi.,14
28.02.19 Do.,14
01.03.19 Fr.,15
04.03.19 Mo.,18
05.03.19 Di.,16
06.03.19 Mi.,14
07.03.19 Do.,13
08.03.19 Fr.,13
11.03.19 Mo.,10
12.03.19 Di.,14
13.03.19 Mi.,15
14.03.19 Do.,10
15.03.19 Fr.,10
18.03.19 Mo.,15
19.03.19 Di.,16
20.03.19 Mi.,16
21.03.19 Do.,13
22.03.19 Fr.,13
25.03.19 Mo.,15
26.03.19 Di.,13
27.03.19 Mi.,15
28.03.19 Do.,10
29.03.19 Fr.,10
01.04.19 Mo.,13
02.04.19 Di.,15
03.04.19 Mi.,16
04.04.19 Do.,15
